Feature;description
icpart1;Whether or not the respondent lives with husband, wife or partner (interviewer code)
dweight;Design weight
pweight;Population size weight
ipcrtiv;"Attitude towards ""it is important to think of new ideas and be creative”"
rtrdp;Whether or not partner of respondent is retired in the 7 days before the interview
blgetmg;Whether or not respondent belongs to a minority ethnic group in the country
region;Region of the respondent
regunit;Regional unit of the respondent
hincsrca;Main source of household income
anctry1;First ancestry in European Standard Classification of Cultural and Ethnic Groups
trstprl;Trust in the parliament of the country
lrscale;Placement on left and right scale (political orientation)
wrkorg;Whether or not respondent has worked in another (not a political party or action group) organization or association in the last 12 months
badge;Whether respondent has worn or displayed a campaign badge or sticker in the last 12 months
pbldmn;Whether or not respondent has taken part in a lawful public demonstration in the last 12 months
bctprd;Whether or not respondent has boycotted certain products in the last 12 months
pstplonl;Whether or not respondent has posted or shared anything about politics online in the last 12 months
clsprty;Whether or not respondent feels closer to a particular party than all other parties (politics)
sclmeet;How often socially meeting with friends, relatives or colleagues
icpart3;Whether or not the respondent lives with husband, wife or partner (interviewer code)
hmsacld;"Attitude towards ""gay and lesbian couples have a right to adopt children”"
imbgeco;Attitude towards “immigration is good for the economy of the country”
imwbcnt;Attitude towards “immigrants make the country a better place to live”
happy;How happy is respondent
dscrdk;Whether or not respondent does not know if group of respondent is discriminated
rtrd;Whether or not respondent is retired in the 7 days before the interview
rlgdgr;How religious is respondent
dscrgrp;Whether or not respondent is a member of a group discriminated against in the country
dscrntn;Whether or not respondent is discriminated in terms of nationality
dscrrlg;Whether or not respondent is discriminated in terms of religion
dscrlng;Whether or not respondent is discriminated in terms of language
dscretn;Whether or not respondent is discriminated in terms of ethnic group
dscrage;Whether or not respondent is discriminated in terms of age
facntr;Whether or not the father of the respondent is born in the country
dscrsex;Whether or not respondent is discriminated in terms of sexuality
dscrdsb;Whether or not respondent is discriminated in terms of disability
icomdng;How many activities doing by partner coded (interview code)
lnghom1;First most spoken language at home
mocntr;Whether mother is born in the country
gvrfgap;"Attitude towards ""the government should be generous in judging applications for refugee status”"
ownrdcc;How likely is it for the respondent to limit own energy use to reduce climate change
inctxff;Attitude towards “taxes on fossil fuels should be increased to reduce climate change”
wrtcfl;How worried about energy supply being interrupted by technical failures
wrtratc;How worried about energy supply being interrupted by terrorist attacks
clmchng;"Attitude towards ""the climate of the world is changing”"
dfincac;Attitude towards “large differences in income are acceptable to reward talents and efforts”
sbstrec;"Attitude towards ""social benefits and services place a too great strain on the economy”"
admub;Administration of unemployment benefits questions
sbbsntx;"Attitude towards ""social benefits and services cost businesses too much in taxes and charges"
hhmmb;Number of people living regularly as a member of the household
crpdwk;Whether or not respondent had control paid work in the 7 days before the interview
pdjobev;Whether or not respondent ever had a paid job
pdjobyr;The last year of the paid job
chldhhe;Whether or not respondent ever had children living in the household
iccohbt;Whether or not respondent is cohabiting (interviewer code)
marsts;Legal marital status
eiscedp;highest level of education of partner in ES-ISCED scale
pdwrkp;Whether or not partner of respondent did paid work in the 7 days before the interview
dngrefp;Whether or not respondent refuses to answer what partner has done in the 7 days before the interview
icppdwk;Whether or not partner of respondent is in paid work (interviewer code)
isco08p;Occupation of partner of respondent in ISCO08 code
yrbrn2;Year of birth of second person in household
icpdwrk;Whether or not respondent is in paid work (interviewer code)
emplrel;Employment relation
hinctnta;Total net income of all sources of household
cmsrvp;Whether or not respondent is in community or military service in 7 days before the interview
uemplip;Whether or not partner is unemployed and not actively looking for a job in the 7 days before interview
chldhm;Whether or not children are living at home or not
eduyrs;Years of fulltime education completed
pdwrk;Whether or not respondent is doing paid work in 7 days before the interview
mbtru;Whether or not respondent is or was a member of a trade union or similar organization
hswrkp;Whether or not partner of respondent is doing housework, looking after children or other in the 7 days before the interview
mnactic;Main activity in the last 7 days of all respondents, post coded
dngothp;Whether or not partner of respondent is doing something other in the 7 days before the interview
dngnapp;Whether or not question about what partner of respondent is doing in the 7 days before the interview is not applicable
icomdnp;Whether or not partner of respondent is doing more than one activity in 7 days before interview (interviewer code)
dngnap;Whether or not question about what respondent is doing in the 7 days before the interview is not applicable
wkhtot;Total hours normally worked per week in main job with overtime
nacer2;Industry type in NACE rev.2
isco08;Occupation of respondent in ISCO08 code
wkhct;Total contracted hours per week in main job excluding overtime
wrkac6m;Whether or not respondent has paid work in another country of at least 6 months in the past 10 years
uemp3m;Whether or not respondent was ever unemployed and seeking work for a period of more than 3 months
wkhtotp;Hours normally worked in a week in main job with overtime, of partner
eiscedf;Highest level of education of father in ES-ISCED
emprm14;Employment status of mother of respondent when respondent was 14
eiscedm;Highest level of education of mother in ES-ISCED
atncrse;Whether or not respondent has improved knowledge or skills by a course, lecture or conference in the last 12 months
impenv;"Attitude towards ""it is important to care for nature and the environment”"
imptrad;"Attitude towards ""it is important to follow traditions and customs”"
iplylfr;"Attitude towards ""it is important to be loyal to friends and devote to people that are close”"
impfun;"Attitude towards ""it is important to seek fun and things that give pleasure”"
ipstrgv;"Attitude towards ""it is important that the government is strong and ensures safety”"
ipbhprp;"Attitude towards ""it is important to behave properly”"
inwdds;Day of the month of the start of the interview
iprspot;"Attitude towards ""it is important to get respect from others”"
inwmme;Month of the end of the interview
inwyye;Year of the end of the interview
inwtm;Interview length in minutes of main questionnaire
basinc;"Attitude towards ""there should be a basic income scheme”"
dscrnap;Answered ‘not applicable’ to question discrimination to group of respondent
